GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
77.45,0.664,9.9,11.915,4.6,1,1.0,3
78.26,0.661,14.2,12.565,4.1,1,0.979,3
79.05,0.658,14.8,13.05,3.6,1,0.957,3
86.1,0.655,13.9,13.115,3.5,1,0.936,3
74.58,0.647,13.5,13.3,3.4,1,0.915,3
73.97,0.636,14.0,13.385,3.6,1,0.894,3
73.72,0.63,15.6,13.93,3.7,1,0.872,3
75.65,0.625,16.5,13.92,3.5,1,0.83,3
73.79,0.624,16.2,13.98,3.4,1,0.809,3
76.89,0.615,16.9,14.22,3.5,1,0.787,3
76.11,0.6,14.8,13.375,3.6,1,0.766,3
74.95,0.583,13.3,12.69,3.7,1,0.745,3
71.87,0.561,11.3,12.475,3.5,1,0.723,3
83.42,0.537,13.3,14.93,3.4,1,0.702,3
90.1,0.519,14.3,16.555,3.2,1,0.681,2
78.15,0.467,11.8,15.96,3.1,1,0.638,2
69.3,0.438,9.5,15.12,3.1,1,0.617,2
63.54,0.418,8.8,15.19,3.0,1,0.596,2
63.87,0.401,7.2,15.39,2.9,1,0.574,2
58.32,0.386,6.6,14.885,2.8,1,0.553,2
56.61,0.369,5.5,14.8,3.0,1,0.532,2
55.97,0.352,6.1,14.46,3.0,1,0.511,2
63.67,0.344,6.0,14.745,3.0,1,0.489,2
66.2,0.342,6.8,15.135,3.0,1,0.468,2
61.27,0.346,6.1,15.48,3.0,1,0.447,2
69.48,0.354,5.8,14.675,3.0,1,0.404,3
76.37,0.354,5.2,13.635,3.0,1,0.383,3
82.2,0.348,7.4,15.055,3.0,1,0.362,2
90.25,0.346,11.5,20.23,3.1,1,0.34,2
94.38,0.358,14.2,24.015,3.0,1,0.319,2
87.44,0.377,13.9,23.58,3.1,1,0.298,2
70.98,0.401,11.5,18.395,3.1,1,0.277,2
64.72,0.439,10.3,13.815,3.1,1,0.255,2
54.29,0.47,9.9,9.44,3.2,1,0.234,3
41.46,0.493,11.1,5.255,3.4,1,0.213,3
50.93,0.524,12.1,5.265,4.6,1,0.17,3
72.79,0.543,11.3,11.76,4.1,1,0.149,3
95.34,0.555,14.1,17.665,3.5,1,0.128,3
102.35,0.558,15.8,20.145,3.2,1,0.106,3
79.7,0.549,15.5,18.07,3.2,1,0.085,3
66.69,0.53,14.0,15.72,3.3,1,0.064,3
73.68,0.521,14.7,15.98,3.3,1,0.043,2
71.05,0.535,17.2,18.02,3.3,1,0.021,2
57.02,0.628,11.6,12.09,3.5,2,1.0,8
43.29,0.702,7.3,6.705,4.0,2,0.981,8
36.06,0.762,5.7,4.595,5.0,2,0.963,8
46.0,0.823,5.1,4.62,5.5,2,0.944,8
60.3,0.915,4.6,5.01,5.6,2,0.926,6
75.22,0.999,4.4,5.295,5.5,2,0.907,6
87.19,1.045,4.7,5.32,5.4,2,0.889,6
86.86,1.064,5.2,5.785,5.4,2,0.87,6
88.0,1.051,6.5,6.38,5.4,2,0.852,6
75.47,1.018,7.8,7.215,5.5,2,0.833,6
59.36,0.972,10.0,8.925,4.9,2,0.796,6
55.57,0.952,8.6,9.355,4.5,2,0.778,6
46.96,0.924,5.4,9.12,4.3,2,0.759,6
43.67,0.876,3.6,8.225,4.1,2,0.741,6
55.23,0.826,5.1,7.875,4.3,2,0.722,6
61.24,0.777,9.7,8.575,4.3,2,0.704,6
54.46,0.728,12.8,10.66,4.4,2,0.685,6
43.23,0.699,14.9,12.375,4.0,2,0.667,7
44.59,0.682,16.0,13.54,3.9,2,0.648,7
47.48,0.676,16.5,12.89,3.7,2,0.63,4
61.1,0.671,15.2,11.785,3.7,2,0.611,4
64.82,0.68,9.1,8.97,4.5,2,0.574,4
55.77,0.71,6.1,8.93,5.1,2,0.556,4
62.22,0.744,4.3,9.215,5.5,2,0.537,4
55.06,0.786,2.9,9.5,5.6,2,0.519,6
71.02,0.839,3.1,8.89,5.4,2,0.5,6
91.37,0.881,3.9,8.06,5.3,2,0.481,6
115.42,0.911,5.2,6.875,5.3,2,0.463,6
115.7,0.94,5.9,6.085,5.2,2,0.444,6
107.11,0.972,6.0,6.135,5.6,2,0.426,6
93.82,1.008,5.8,6.64,5.6,2,0.407,6
61.63,1.061,3.6,6.865,6.1,2,0.37,6
45.98,1.076,3.6,6.25,6.2,2,0.352,6
32.76,1.071,3.0,6.225,5.8,2,0.333,6
37.82,1.058,3.6,6.19,5.7,2,0.315,6
40.73,1.038,2.3,6.375,5.5,2,0.296,6
33.42,1.005,2.2,6.61,5.4,2,0.278,6
32.08,0.968,2.2,7.355,5.3,2,0.259,6
33.82,0.943,2.1,8.33,4.9,2,0.241,6
45.57,0.924,1.1,8.84,4.7,2,0.222,6
53.95,0.9,1.9,8.125,4.6,2,0.204,6
59.42,0.875,4.3,7.845,4.6,2,0.185,6
68.43,0.854,8.3,8.665,4.8,2,0.167,6
75.88,0.849,11.0,10.04,4.6,2,0.148,6
77.75,0.864,11.3,10.85,4.7,2,0.13,6
80.93,0.907,9.6,9.815,4.6,2,0.111,6
72.92,0.932,7.3,7.475,4.7,2,0.093,6
65.59,0.92,5.7,5.265,5.0,2,0.074,6
