WELL,PICKS,OBS,QLF,DEPTH,TVD,TVDSS,TWT,DIP,AZI,EASTING,NORTHING,INTRP
15/09/2011,Seabed,1,,113,113,-88,93.93,,,435410.8,6474001.6,STAT
15/09/2011,NORDLAND GP. Top,1,,586,586,-561,629.45,,,435409.4,6474001.9,STAT
15/09/2011,Utsira Fm. Top,1,,825,824.99,-799.99,869.89,,,435409.1,6474003.9,STAT
15/09/2011,HORDALAND GP. Top,1,,1099,1098.96,-1073.96,1126.03,,,435412.3,6474005.4,STAT
15/09/2011,Ty Fm. Top,1,,2387,2386.71,-2361.71,2298.79,3.18,19,435422.4,6473986.8,STAT
15/09/2011,SHETLAND GP. Top,1,,2527,2526.69,-2501.69,2390.55,,,435420.4,6473985.5,STAT
15/09/2011,Ekofisk Fm. Top,1,,2527,2526.69,-2501.69,2390.55,3.18,19,435420.4,6473985.5,STAT
15/09/2011,Hod Fm. Top,1,,2624,2623.68,-2598.68,2432.34,3.18,19,435418.7,6473985.6,STAT
15/09/2011,Draupne Fm. Top,1,,2752.5,2752.14,-2727.14,2495.99,3.18,19,435415.8,6473984.7,STAT
15/09/2011,Heather Fm. Top,1,,2776,2775.63,-2750.63,2511.07,3.18,19,435415.1,6473984.4,STAT
15/09/2011,Smith Bank Fm. Top,1,,2830.5,2830.11,-2805.11,2542.04,14,38,435413.9,6473984.1,STAT
15/09/2017,Seabed,1,,108,108,-86,,,,438602.7,6478951.2,STAT
15/09/2017,NORDLAND GP. Top,1,,568,567.98,-545.98,607.7,,,438601.7,6478954.2,STAT
15/09/2017,Utsira Fm. Top,1,,832,831.97,-809.97,858.26,,,438600.8,6478955.3,STAT
15/09/2017,HORDALAND GP. Top,1,,1045,1044.96,-1022.96,1063.67,,,438602,6478956.8,STAT
15/09/2017,Ty Fm. Top,1,,2381.23,2381.05,-2359.05,2285.96,,,438607.4,6478968.7,STAT
15/09/2017,SHETLAND GP. Top,1,,2486.5,2486.3,-2464.3,2353.33,,,438607.4,6478970.8,STAT
15/09/2017,Ekofisk Fm. Top,1,,2486.5,2486.3,-2464.3,2353.33,,,438607.4,6478970.8,STAT
15/09/2017,Hod Fm. Top,1,,2612,2611.79,-2589.79,2410.61,,,438606.4,6478972.4,STAT
15/09/2017,Draupne Fm. Top,1,,2712,2711.78,-2689.78,2464.53,,,438607.1,6478973.2,STAT
15/09/2017,Hugin Fm. VOLVE Top,1,,2715.25,2715.03,-2693.03,2466.33,,,438607.1,6478973.2,STAT
15/09/2017,Hugin Fm. VOLVE Base,1,,2717.5,2717.28,-2695.28,2467.71,,,438607.1,6478973.2,STAT
15/09/2017,Skagerrak Fm. Top,1,,2717.5,2717.28,-2695.28,2467.71,,,438607.1,6478973.2,STAT
15/09/2017,Smith Bank Fm. Top,1,,2870.79,2870.56,-2848.56,2563.1,,,438608.1,6478973.8,STAT
15/9-19 A,Seabed,1,NL,106,106,-81,109.55,,,437506,6477887.5,STAT
15/9-19 A,NORDLAND GP. Top,1,NL,106,106,-81,109.55,,,437506,6477887.5,STAT
15/9-19 A,Utsira Fm. Top,1,NL,847.8,839.71,-814.71,860.21,,,437449,6477904,STAT
15/9-19 A,HORDALAND GP. Top,1,NL,1107.5,1057.14,-1032.14,1073.19,,,437313.9,6477939.3,STAT
15/9-19 A,Ty Fm. Top,1,,3180.89,2455.14,-2430.14,2318.21,,,436106.7,6478464.4,STAT
15/9-19 A,SHETLAND GP. Top,1,,3313.42,2575.9,-2550.9,2393.69,,,436121.3,6478517,STAT
15/9-19 A,Ekofisk Fm. Top,1,,3313.42,2575.9,-2550.9,2393.69,,,436121.3,6478517,STAT
15/9-19 A,Hod Fm. Top,1,,3476.16,2723.64,-2698.64,2470.6,,,436137.4,6478583.3,STAT
15/9-19 A,Draupne Fm. Top,1,,3666.5,2898.76,-2873.76,2555.61,,,436153.7,6478655.9,STAT
15/9-19 A,Heather Fm. Top,1,,3767,2989.42,-2964.42,2619.41,,,436174.4,6478693.8,STAT
15/9-19 A,Heather Fm. Sand VOLVE Top,1,,3797,3016.12,-2991.12,2634.66,,,436182,6478705.2,STAT
15/9-19 A,Hugin Fm. VOLVE Top,1,,3821.5,3037.99,-3012.99,2646.3,15,45,436188.3,6478714.3,STAT
15/9-19 A,Hugin Fm. VOLVE Base,1,,3919.59,3126.4,-3101.4,2694.04,,,436212,6478749.5,STAT
15/9-19 A,Sleipner Fm. Top,1,,3919.59,3126.4,-3101.4,2694.04,,,436212,6478749.5,STAT
15/9-19 A,Skagerrak Fm. Top,1,,3966.3,3168.47,-3143.47,2715.13,,,436223.3,6478766.4,STAT
15/9-19 A,Smith Bank Fm. Top,1,,4097,3287.23,-3262.23,2774.01,,,436251.7,6478812.9,STAT
15/9-19 B,NORDLAND GP. Top,1,,109,109,-84,,,,437510,6477882.5,STAT
15/9-19 B,Utsira Fm. Top,1,,851,842.65,-817.65,,,,437451.9,6477899.3,STAT
15/9-19 B,HORDALAND GP. Top,1,,1112,1060.4,-1035.4,,,,437315.1,6477934.9,STAT
15/9-19 B,Ty Fm. Top,1,,3209,2458.82,-2433.82,,,,436225.1,6477899.6,STAT
15/9-19 BT2,Seabed,1,NL,106,106,-81,110.57,,,437506,6477887.5,STAT
15/9-19 BT2,NORDLAND GP. Top,1,NL,106,106,-81,110.57,,,437506,6477887.5,STAT
15/9-19 BT2,Utsira Fm. Top,1,NL,847.8,839.71,-814.71,887.01,,,437449,6477904,STAT
15/9-19 BT2,HORDALAND GP. Top,1,NL,1107.5,1057.14,-1032.14,1097.36,,,437313.9,6477939.3,STAT
15/9-19 BT2,Ty Fm. Top,1,,3212.83,2462.65,-2437.65,2341.22,,,436230.4,6477908.4,STAT
15/9-19 BT2,SHETLAND GP. Top,1,,3375.81,2602.51,-2577.51,2424.52,,,436265.4,6477832.6,STAT
15/9-19 BT2,Ekofisk Fm. Top,1,,3375.81,2602.51,-2577.51,2424.52,,,436265.4,6477832.6,STAT
15/9-19 BT2,Hod Fm. Top,1,,3557,2753.1,-2728.1,2494.41,,,436317,6477746.4,STAT
15/9-19 BT2,Draupne Fm. Top,1,,3768,2933.61,-2908.61,2588.82,,,436362.6,6477648,STAT
15/9-19 BT2,Heather Fm. Top,1,,3946,3092.81,-3067.81,2700.47,,,436392.9,6477574.4,STAT
