DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT,FM. LABEL
2600.0,0.371,2.356,82.748,1.323,7.126,8.648,104.605,HORDALAND GP. Top
2600.1,0.341,2.338,79.399,1.196,6.654,8.578,103.827,HORDALAND GP. Top
2600.2,0.308,2.315,74.248,1.171,6.105,8.578,102.74,HORDALAND GP. Top
2600.3,0.283,2.291,68.542,1.142,5.613,8.547,100.943,HORDALAND GP. Top
2600.4,0.272,2.269,60.314,1.107,5.281,8.523,98.473,HORDALAND GP. Top
2600.5,0.266,2.253,51.895,1.214,5.151,8.523,97.171,HORDALAND GP. Top
2600.6,0.273,2.244,45.764,1.317,5.205,8.531,95.441,HORDALAND GP. Top
2600.7,0.282,2.243,40.914,1.299,5.38,8.523,93.204,HORDALAND GP. Top
2600.8,0.29,2.249,40.059,1.186,5.602,8.557,92.143,HORDALAND GP. Top
2600.9,0.303,2.258,41.143,1.077,5.829,8.563,92.043,HORDALAND GP. Top
2601.0,0.322,2.268,42.513,0.99,6.066,8.578,93.184,HORDALAND GP. Top
2601.1,0.344,2.279,45.945,0.935,6.345,8.578,95.901,HORDALAND GP. Top
2601.2,0.36,2.29,50.095,0.844,6.66,8.625,98.137,HORDALAND GP. Top
2601.3,0.381,2.304,55.343,0.921,6.934,8.656,99.229,HORDALAND GP. Top
2601.4,0.399,2.316,60.451,1.015,7.081,8.672,100.373,HORDALAND GP. Top
2601.5,0.419,2.325,65.587,1.077,7.066,8.578,101.197,HORDALAND GP. Top
2601.6,0.427,2.328,71.338,1.08,6.915,8.578,101.324,HORDALAND GP. Top
2601.7,0.424,2.328,71.621,1.092,6.704,8.578,101.454,HORDALAND GP. Top
2601.8,0.41,2.326,72.673,1.062,6.503,8.557,101.539,HORDALAND GP. Top
2601.9,0.388,2.321,71.562,1.077,6.365,8.547,101.504,HORDALAND GP. Top
2602.0,0.363,2.314,65.709,1.104,6.295,8.562,101.369,HORDALAND GP. Top
2602.1,0.348,2.306,58.633,1.096,6.256,8.557,101.12,HORDALAND GP. Top
2602.2,0.338,2.299,54.392,1.105,6.181,8.547,100.597,HORDALAND GP. Top
2602.3,0.33,2.292,54.614,1.1,6.028,8.547,100.069,HORDALAND GP. Top
2602.4,0.317,2.28,52.713,1.089,5.804,8.547,99.584,HORDALAND GP. Top
2602.5,0.3,2.262,49.94,1.07,5.562,8.547,99.313,HORDALAND GP. Top
2602.6,0.286,2.24,44.819,1.118,5.355,8.547,99.886,HORDALAND GP. Top
2602.7,0.282,2.219,40.6,1.087,5.219,8.547,100.986,HORDALAND GP. Top
2602.8,0.292,2.203,37.156,0.962,5.195,8.547,102.613,HORDALAND GP. Top
2602.9,0.319,2.19,34.995,0.83,5.31,8.547,104.509,HORDALAND GP. Top
2603.0,0.353,2.177,33.09,0.716,5.547,8.547,106.588,HORDALAND GP. Top
2603.1,0.381,2.165,33.391,0.704,5.832,8.547,108.729,HORDALAND GP. Top
2603.2,0.389,2.159,34.605,0.709,6.067,8.578,109.842,HORDALAND GP. Top
2603.3,0.375,2.161,37.914,0.721,6.195,8.578,110.045,HORDALAND GP. Top
2603.4,0.345,2.175,40.99,0.724,6.219,8.578,107.595,HORDALAND GP. Top
2603.5,0.313,2.199,43.599,0.675,6.149,8.547,104.575,HORDALAND GP. Top
2603.6,0.282,2.233,45.476,0.676,5.984,8.547,101.006,HORDALAND GP. Top
2603.7,0.261,2.267,46.263,0.684,5.745,8.547,95.494,HORDALAND GP. Top
2603.8,0.252,2.29,46.561,0.71,5.509,8.547,91.164,HORDALAND GP. Top
2603.9,0.252,2.296,43.912,0.815,5.328,8.547,88.252,HORDALAND GP. Top
2604.0,0.255,2.287,41.161,0.867,5.205,8.547,84.879,HORDALAND GP. Top
2604.1,0.258,2.267,38.512,0.856,5.106,8.547,82.841,HORDALAND GP. Top
2604.2,0.26,2.245,35.021,0.792,5.028,8.547,82.742,HORDALAND GP. Top
2604.3,0.26,2.226,31.604,0.727,4.979,8.547,82.951,HORDALAND GP. Top
2604.4,0.261,2.213,30.029,0.628,4.977,8.547,83.446,HORDALAND GP. Top
2604.5,0.262,2.204,29.24,0.566,5.003,8.547,84.372,HORDALAND GP. Top
2604.6,0.266,2.195,28.342,0.579,5.021,8.547,85.583,HORDALAND GP. Top
2604.7,0.268,2.187,27.322,0.59,5.012,8.547,86.863,HORDALAND GP. Top
2604.8,0.269,2.179,26.961,0.578,4.996,8.547,88.175,HORDALAND GP. Top
2604.9,0.268,2.175,25.813,0.486,4.998,8.547,89.334,HORDALAND GP. Top
2605.0,0.269,2.174,25.664,0.43,5.016,8.547,90.155,HORDALAND GP. Top
2605.1,0.272,2.173,25.722,0.387,5.026,8.547,90.168,HORDALAND GP. Top
2605.2,0.274,2.171,25.608,0.374,5.017,8.578,89.92,HORDALAND GP. Top
2605.3,0.277,2.171,25.434,0.354,4.997,8.578,89.54,HORDALAND GP. Top
2605.4,0.282,2.173,25.519,0.351,4.985,8.547,89.012,HORDALAND GP. Top
2605.5,0.284,2.178,26.275,0.351,4.993,8.547,88.544,HORDALAND GP. Top
2605.6,0.283,2.182,24.981,0.348,5.006,8.547,88.129,HORDALAND GP. Top
2605.7,0.28,2.184,24.824,0.351,5.002,8.547,87.831,HORDALAND GP. Top
2605.8,0.273,2.184,25.483,0.356,4.969,8.547,87.956,HORDALAND GP. Top
2605.9,0.265,2.181,24.725,0.356,4.921,8.547,88.326,HORDALAND GP. Top
2606.0,0.26,2.179,24.805,0.356,4.897,8.547,88.809,HORDALAND GP. Top
2606.1,0.259,2.178,24.755,0.36,4.915,8.547,89.506,HORDALAND GP. Top
2606.2,0.264,2.179,25.234,0.365,4.958,8.547,90.338,HORDALAND GP. Top
2606.3,0.271,2.183,26.622,0.369,5.002,8.547,91.098,HORDALAND GP. Top
2606.4,0.276,2.189,27.994,0.37,5.03,8.547,91.915,HORDALAND GP. Top
2606.5,0.277,2.193,27.798,0.38,5.037,8.547,92.767,HORDALAND GP. Top
2606.6,0.276,2.194,30.169,0.387,5.04,8.547,93.314,HORDALAND GP. Top
2606.7,0.273,2.193,32.99,0.388,5.056,8.547,93.934,HORDALAND GP. Top
2606.8,0.27,2.191,34.367,0.389,5.086,8.547,94.626,HORDALAND GP. Top
2606.9,0.267,2.189,34.147,0.392,5.112,8.547,95.278,HORDALAND GP. Top
2607.0,0.266,2.189,33.57,0.403,5.121,8.547,96.072,HORDALAND GP. Top
2607.1,0.267,2.189,33.16,0.405,5.123,8.547,97.037,HORDALAND GP. Top
2607.2,0.269,2.189,33.631,0.407,5.139,8.547,97.917,HORDALAND GP. Top
2607.3,0.272,2.189,32.754,0.41,5.162,8.547,98.663,HORDALAND GP. Top
2607.4,0.274,2.189,32.668,0.423,5.168,8.547,99.222,HORDALAND GP. Top
2607.5,0.276,2.19,32.109,0.445,5.136,8.547,99.198,HORDALAND GP. Top
2607.6,0.279,2.19,30.053,0.446,5.074,8.547,99.044,HORDALAND GP. Top
2607.7,0.283,2.19,28.497,0.448,5.027,8.547,98.795,HORDALAND GP. Top
2607.8,0.289,2.189,29.497,0.455,5.053,8.547,98.659,HORDALAND GP. Top
2607.9,0.301,2.191,31.087,0.459,5.203,8.547,98.598,HORDALAND GP. Top
2608.0,0.318,2.197,35.991,0.454,5.508,8.578,98.652,HORDALAND GP. Top
2608.1,0.344,2.211,42.866,0.452,5.93,8.547,98.905,HORDALAND GP. Top
2608.2,0.368,2.235,49.618,0.454,6.377,8.563,99.248,HORDALAND GP. Top
2608.3,0.384,2.265,54.604,0.606,6.689,8.578,99.69,HORDALAND GP. Top
2608.4,0.386,2.294,60.595,0.804,6.771,8.562,100.28,HORDALAND GP. Top
2608.5,0.371,2.31,63.962,0.866,6.614,8.547,100.993,HORDALAND GP. Top
2608.6,0.351,2.306,61.152,0.807,6.322,8.562,101.963,HORDALAND GP. Top
2608.7,0.342,2.286,52.352,0.645,6.085,8.547,102.891,HORDALAND GP. Top
2608.8,0.343,2.263,45.544,0.534,6.044,8.547,103.84,HORDALAND GP. Top
2608.9,0.354,2.251,44.964,0.545,6.178,8.547,104.991,HORDALAND GP. Top
2609.0,0.363,2.255,47.718,0.638,6.34,8.547,106.188,HORDALAND GP. Top
2609.1,0.375,2.266,53.557,0.696,6.416,8.562,107.456,HORDALAND GP. Top
2609.2,0.388,2.269,58.377,0.676,6.438,8.547,109.065,HORDALAND GP. Top
2609.3,0.41,2.264,58.583,0.644,6.553,8.547,110.702,HORDALAND GP. Top
2609.4,0.435,2.259,62.77,0.657,6.808,8.578,112.382,HORDALAND GP. Top
2609.5,0.458,2.264,71.04,0.674,7.118,8.602,114.384,HORDALAND GP. Top
2609.6,0.477,2.277,74.674,0.715,7.318,8.625,116.01,HORDALAND GP. Top
2609.7,0.49,2.29,75.451,0.709,7.331,8.625,117.311,HORDALAND GP. Top
2609.8,0.495,2.296,77.477,0.7,7.225,8.578,118.033,HORDALAND GP. Top
2609.9,0.495,2.297,78.429,0.704,7.101,8.578,118.232,HORDALAND GP. Top
2610.0,0.492,2.299,77.676,0.688,7.021,8.578,117.91,HORDALAND GP. Top
2610.1,0.484,2.303,75.239,0.688,6.998,8.578,117.746,HORDALAND GP. Top
2610.2,0.471,2.306,74.651,0.705,7.01,8.563,117.187,HORDALAND GP. Top
2610.3,0.449,2.306,73.736,0.704,7.019,8.578,116.145,HORDALAND GP. Top
2610.4,0.427,2.302,71.072,0.692,6.985,8.578,115.441,HORDALAND GP. Top
2610.5,0.407,2.295,64.63,0.672,6.872,8.578,114.66,HORDALAND GP. Top
2610.6,0.392,2.284,60.306,0.656,6.692,8.547,113.731,HORDALAND GP. Top
2610.7,0.379,2.269,56.641,0.62,6.492,8.547,113.803,HORDALAND GP. Top
2610.8,0.372,2.249,52.42,0.591,6.333,8.578,113.889,HORDALAND GP. Top
2610.9,0.369,2.229,49.687,0.584,6.236,8.547,113.756,HORDALAND GP. Top
2611.0,0.367,2.212,45.754,0.562,6.201,8.578,113.468,HORDALAND GP. Top
2611.1,0.367,2.202,46.434,0.535,6.207,8.547,112.913,HORDALAND GP. Top
2611.2,0.363,2.199,47.978,0.509,6.228,8.547,111.831,HORDALAND GP. Top
2611.3,0.362,2.199,48.64,0.488,6.244,8.578,110.869,HORDALAND GP. Top
2611.4,0.368,2.199,49.873,0.5,6.253,8.578,109.965,HORDALAND GP. Top
2611.5,0.373,2.202,51.422,0.51,6.26,8.578,109.135,HORDALAND GP. Top
2611.6,0.373,2.21,54.444,0.527,6.247,8.578,108.558,HORDALAND GP. Top
2611.7,0.368,2.221,53.76,0.542,6.205,8.578,108.152,HORDALAND GP. Top
2611.8,0.369,2.233,53.106,0.559,6.151,8.563,108.049,HORDALAND GP. Top
2611.9,0.378,2.24,53.96,0.572,6.151,8.578,108.255,HORDALAND GP. Top
2612.0,0.402,2.245,58.392,0.579,6.259,8.563,108.614,HORDALAND GP. Top
2612.1,0.431,2.251,63.602,0.613,6.469,8.578,109.039,HORDALAND GP. Top
2612.2,0.453,2.259,65.994,0.646,6.712,8.578,109.741,HORDALAND GP. Top
2612.3,0.46,2.266,67.711,0.67,6.91,8.578,110.624,HORDALAND GP. Top
2612.4,0.45,2.272,69.143,0.657,7.013,8.578,111.7,HORDALAND GP. Top
2612.5,0.433,2.276,69.974,0.659,7.029,8.578,113.383,HORDALAND GP. Top
2612.6,0.417,2.278,67.368,0.644,6.997,8.578,115.46,HORDALAND GP. Top
2612.7,0.41,2.278,65.561,0.664,6.961,8.578,117.219,HORDALAND GP. Top
2612.8,0.41,2.279,67.43,0.697,6.951,8.578,118.49,HORDALAND GP. Top
2612.9,0.411,2.284,72.941,0.723,6.971,8.578,119.321,HORDALAND GP. Top
2613.0,0.41,2.293,77.084,0.727,7.009,8.648,118.598,HORDALAND GP. Top
2613.1,0.41,2.304,80.62,0.751,7.072,8.672,117.079,HORDALAND GP. Top
2613.2,0.405,2.316,83.013,0.8,7.183,8.625,114.753,HORDALAND GP. Top
2613.3,0.39,2.326,82.219,0.852,7.296,8.625,111.874,HORDALAND GP. Top
2613.4,0.357,2.337,79.7,0.871,7.328,8.648,108.728,HORDALAND GP. Top
2613.5,0.308,2.353,71.057,0.997,7.209,8.625,105.274,HORDALAND GP. Top
2613.6,0.257,2.377,60.059,1.533,6.966,8.672,102.333,HORDALAND GP. Top
2613.7,0.222,2.406,50.296,2.42,6.732,8.648,99.042,HORDALAND GP. Top
2613.8,0.219,2.428,50.038,2.988,6.629,8.672,95.166,HORDALAND GP. Top
2613.9,0.234,2.431,53.308,4.011,6.715,8.602,93.034,HORDALAND GP. Top
2614.0,0.251,2.416,53.56,3.886,7.011,8.625,92.239,HORDALAND GP. Top
2614.1,0.269,2.402,53.418,2.499,7.529,8.625,93.445,HORDALAND GP. Top
2614.2,0.279,2.402,55.581,2.24,8.153,8.672,97.649,HORDALAND GP. Top
2614.3,0.279,2.419,55.123,2.831,8.675,8.727,102.531,HORDALAND GP. Top
2614.4,0.288,2.438,54.192,2.951,8.843,8.703,107.545,HORDALAND GP. Top
2614.5,0.297,2.447,54.842,2.272,8.596,8.828,109.848,HORDALAND GP. Top
2614.6,0.316,2.445,58.324,1.894,8.172,8.703,110.829,HORDALAND GP. Top
2614.7,0.345,2.437,63.245,1.441,7.866,8.703,110.188,HORDALAND GP. Top
2614.8,0.355,2.424,68.619,0.822,7.746,8.649,108.601,HORDALAND GP. Top
