DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3200.0,0.075,2.605,9.348,8.331,7.451,8.547,64.49616676482755
3200.1,0.077,2.602,9.362,8.289,7.464,8.547,64.49616676482755
3200.2,0.078,2.599,9.545,8.247,7.405,8.547,64.49616676482755
3200.3,0.079,2.594,11.153,8.206,7.292,8.547,64.04965518853402
3200.4,0.078,2.589,12.592,8.165,7.167,8.547,64.04965518853402
3200.5,0.075,2.587,12.644,8.401,7.067,8.547,63.73518094708842
3200.6,0.074,2.589,13.029,8.3,7.01,8.547,64.00547125681025
3200.7,0.074,2.594,13.167,8.298,7.0,8.547,64.00547125681025
3200.8,0.075,2.599,13.246,8.301,7.033,8.547,64.05169992380186
3200.9,0.076,2.603,13.015,8.126,7.09,8.547,64.08312731829997
3201.0,0.077,2.604,13.116,8.433,7.142,8.547,64.04712086884378
3201.1,0.077,2.601,13.837,8.626,7.145,8.547,64.09343295739833
3201.2,0.078,2.599,13.227,8.773,7.094,8.547,64.06116758827349
3201.3,0.079,2.598,13.795,8.856,7.034,8.547,63.8618749357193
3201.4,0.078,2.601,14.341,8.711,7.016,8.557,64.07779601679297
3201.5,0.08,2.604,14.353,8.126,7.055,8.547,64.11385027594896
3201.6,0.081,2.606,16.054,8.088,7.12,8.547,64.61681872222293
3201.7,0.081,2.604,18.135,8.129,7.153,8.547,65.33648796308567
3201.8,0.081,2.602,20.566,8.158,7.134,8.547,65.83376560488358
3201.9,0.079,2.602,20.735,8.309,7.084,8.547,65.75009621054264
3202.0,0.075,2.605,19.704,8.487,7.052,8.547,65.3176725998453
3202.1,0.069,2.608,17.959,8.657,7.059,8.547,65.21669763780557
3202.2,0.064,2.61,15.662,8.814,7.092,8.547,64.43825156241876
3202.3,0.06,2.612,13.52,9.057,7.135,8.547,63.951529081673954
3202.4,0.059,2.614,10.747,9.273,7.166,8.547,63.85234252159211
3202.5,0.059,2.617,9.619,9.17,7.179,8.547,64.33477303527046
3202.6,0.061,2.618,8.816,9.164,7.187,8.547,63.719895901943914
3202.7,0.064,2.616,8.262,9.222,7.185,8.547,63.97057506162818
3202.8,0.068,2.611,8.138,9.205,7.184,8.547,63.97057506162818
3202.9,0.07,2.604,8.138,9.183,7.192,8.547,63.97057506162818
3203.0,0.07,2.6,9.435,9.129,7.228,8.547,64.33477303527046
3203.1,0.069,2.598,10.003,9.005,7.281,8.547,64.33477303527046
3203.2,0.069,2.598,9.591,8.86,7.33,8.547,64.32208462677184
3203.3,0.068,2.599,9.745,8.725,7.353,8.547,64.45951413850544
3203.4,0.068,2.601,9.739,8.502,7.348,8.547,64.45951413850544
3203.5,0.068,2.604,9.561,8.604,7.323,8.547,64.45951413850544
3203.6,0.066,2.605,8.704,8.64,7.292,8.547,64.09336667465469
3203.7,0.064,2.604,7.853,8.609,7.262,8.547,64.09336667465469
3203.8,0.063,2.601,7.555,8.58,7.244,8.547,64.09336667465469
3203.9,0.062,2.599,6.956,8.43,7.242,8.547,64.09336667465469
3204.0,0.061,2.6,6.327,8.197,7.266,8.547,64.12944521761135
3204.1,0.061,2.603,6.508,8.215,7.304,8.547,64.12944521761135
3204.2,0.062,2.606,6.104,7.966,7.326,8.547,64.12944521761135
3204.3,0.066,2.608,6.422,7.92,7.288,8.547,64.12944521761135
3204.4,0.073,2.607,6.338,7.963,7.186,8.547,64.12944521761135
3204.5,0.079,2.603,5.787,8.097,7.049,8.552,64.05163376052958
3204.6,0.086,2.595,7.03,8.111,6.926,8.555,64.07484471126878
3204.7,0.092,2.588,9.208,7.122,6.856,8.547,64.00120409529852
3204.8,0.097,2.583,12.313,6.277,6.85,8.547,63.49335786280662
3204.9,0.101,2.58,15.883,5.794,6.889,8.547,64.27197119208104
3205.0,0.103,2.578,18.757,5.624,6.936,8.547,65.25733036451135
3205.1,0.102,2.578,20.085,5.994,6.984,8.547,65.47071379747268
3205.2,0.099,2.581,21.209,6.803,7.042,8.547,65.20944317490282
3205.3,0.093,2.588,23.076,6.991,7.114,8.547,66.2913217334468
3205.4,0.087,2.596,22.074,6.756,7.193,8.547,65.90912222122296
3205.5,0.081,2.604,19.757,5.785,7.239,8.547,65.4379783389172
3205.6,0.076,2.607,18.18,5.725,7.24,8.547,65.33648796308567
3205.7,0.071,2.608,15.8,5.659,7.201,8.547,64.61681872222293
3205.8,0.067,2.606,13.736,6.532,7.152,8.547,64.12951160375124
3205.9,0.064,2.602,11.588,6.4,7.121,8.547,64.04965518853402
3206.0,0.064,2.598,9.156,7.015,7.126,8.555,64.2595480155595
3206.1,0.065,2.597,9.458,7.877,7.172,8.563,64.49616676482755
3206.2,0.065,2.598,12.29,7.668,7.246,8.578,64.04965518853402
3206.3,0.068,2.6,12.98,7.661,7.302,8.578,64.08312731829997
3206.4,0.072,2.601,12.994,7.624,7.314,8.555,64.08312731829997
3206.5,0.075,2.601,14.464,7.646,7.292,8.547,64.43180648421712
3206.6,0.077,2.6,16.012,7.593,7.259,8.547,64.61681872222293
3206.7,0.079,2.599,15.904,7.693,7.221,8.547,64.61681872222293
3206.8,0.08,2.597,16.774,7.695,7.181,8.547,65.0531378145273
3206.9,0.081,2.595,17.483,7.574,7.135,8.547,65.24084930910665
3207.0,0.082,2.592,17.805,7.578,7.088,8.547,65.25455607050256
3207.1,0.085,2.59,18.792,7.28,7.048,8.547,65.33283388887924
3207.2,0.089,2.589,20.633,7.121,7.016,8.547,65.75009621054264
3207.3,0.094,2.585,21.248,7.296,7.007,8.547,65.73345586104058
3207.4,0.098,2.579,21.914,7.791,7.026,8.547,65.28283435865153
3207.5,0.1,2.572,22.648,7.85,7.082,8.547,65.31543787441268
3207.6,0.098,2.567,21.772,7.394,7.157,8.547,65.22112999168135
3207.7,0.095,2.564,19.932,6.747,7.219,8.547,65.32085300622313
3207.8,0.09,2.566,16.897,6.75,7.265,8.555,64.71260995955753
3207.9,0.085,2.57,14.429,6.708,7.301,8.555,63.96735958692361
3208.0,0.081,2.575,12.924,6.855,7.325,8.547,63.829961597033815
3208.1,0.078,2.58,11.15,6.852,7.33,8.547,63.829961597033815
