DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3100.0,0.1378,2.5729,33.1264,3.0503,7.9837,8.5243,69.42226171573719
3100.1,0.1368,2.5696,32.5644,3.0585,7.9401,8.5243,69.05816402464886
3100.2,0.1351,2.567,32.3169,3.0454,7.9126,8.5243,69.05816402464886
3100.3,0.1341,2.5668,32.9734,3.0365,7.9216,8.5243,69.05816402464886
3100.4,0.1349,2.569,33.0557,3.0844,7.9582,8.5243,69.05816402464886
3100.5,0.1369,2.5719,32.7959,3.1617,7.9889,8.5242,69.05816402464886
3100.6,0.1406,2.5737,32.995,3.1,7.9951,8.4755,69.99196333860985
3100.7,0.1414,2.5733,32.1285,3.1114,7.9805,8.4756,69.99196333860985
3100.8,0.1392,2.571,34.4729,3.0414,7.9586,8.4998,69.42226171573719
3100.9,0.14,2.5691,33.3984,3.0937,7.9508,8.4755,70.16871719015839
3101.0,0.1399,2.569,33.2506,3.1282,7.9534,8.4755,70.16871719015839
3101.1,0.1408,2.5705,33.168,3.0533,7.9825,8.4755,69.99196333860985
3101.2,0.142,2.5713,33.9833,3.075,8.0429,8.4755,70.34403694096734
3101.3,0.1429,2.5704,35.2027,3.0526,8.1042,8.4755,70.34403694096734
3101.4,0.1428,2.5687,36.0835,2.9632,8.1182,8.4755,70.38429138605845
3101.5,0.1417,2.5669,34.4845,2.9788,8.0688,8.4755,69.99196333860985
3101.6,0.1401,2.5663,33.4326,3.0932,8.0025,8.4756,70.16871719015839
3101.7,0.137,2.5676,34.3112,3.2057,7.9641,8.5243,69.05816402464886
3101.8,0.1357,2.5706,34.9248,3.2207,7.9652,8.5243,69.05816402464886
3101.9,0.1352,2.5748,34.8324,3.0816,7.991,8.5243,69.05816402464886
3102.0,0.1356,2.5781,34.7282,3.22,8.0145,8.5243,69.05816402464886
3102.1,0.1371,2.5796,35.6922,3.2733,8.0204,8.5243,69.46106948384642
3102.2,0.139,2.5797,35.7421,3.3485,8.0018,8.5242,69.46106948384642
3102.3,0.1421,2.5796,35.9918,3.3423,7.969,8.4756,70.38429138605845
3102.4,0.1422,2.5795,37.4139,3.3179,7.9446,8.4998,70.70273168858353
3102.5,0.1416,2.5795,36.863,3.2303,7.9517,8.4755,70.3456785992541
3102.6,0.1413,2.5798,36.9879,3.1885,7.9899,8.4756,70.3456785992541
3102.7,0.1401,2.5805,37.5116,3.2067,8.0195,8.5243,70.5249266882894
3102.8,0.1402,2.5803,38.1982,3.3089,8.0031,8.5243,70.8201633480476
3102.9,0.1382,2.5786,36.8702,3.3799,7.9381,8.5243,69.76801492528469
3103.0,0.1345,2.5772,36.3099,3.4399,7.8717,8.5243,69.33668406050289
3103.1,0.131,2.5775,34.8789,3.4727,7.8559,8.5242,68.29266044923338
3103.2,0.1293,2.5788,35.5282,3.3874,7.8792,8.4998,68.32974165304299
3103.3,0.1314,2.5793,36.8972,3.2649,7.8943,8.4756,69.04326341696395
3103.4,0.1313,2.5785,37.4866,3.4239,7.8566,8.5243,69.04326341696395
3103.5,0.1327,2.5777,38.5293,3.4131,7.7854,8.5243,68.6495877356346
3103.6,0.1339,2.5779,39.2801,3.3094,7.7259,8.5243,69.17458766391022
3103.7,0.1372,2.5801,37.6511,3.2828,7.7025,8.5242,69.76801492528469
3103.8,0.1397,2.5838,37.5855,3.2184,7.7245,8.4756,69.76801492528469
3103.9,0.1406,2.5882,38.4995,3.1911,7.7966,8.5243,70.63883092100366
3104.0,0.1421,2.592,39.6051,3.2934,7.8859,8.5243,71.18950805764501
3104.1,0.1426,2.5939,39.4749,3.1902,7.954,8.5243,71.18950805764501
3104.2,0.1447,2.5922,40.5745,3.0845,7.9636,8.5242,70.76283263338736
3104.3,0.1459,2.5873,40.1933,2.9776,7.9223,8.4756,70.76283263338736
3104.4,0.146,2.5803,39.1936,3.0392,7.8707,8.5,70.62645103746782
3104.5,0.1477,2.5739,38.8022,3.053,7.8353,8.5243,71.0859709252385
3104.6,0.1493,2.5703,39.9626,2.8844,7.8279,8.5243,71.07999295865957
3104.7,0.152,2.5695,40.6177,2.783,7.8621,8.5242,71.26169896147947
3104.8,0.1568,2.5704,40.0253,2.6606,7.9281,8.5,71.45762387033669
3104.9,0.1588,2.5714,40.4096,2.6602,7.9913,8.5242,72.4751824514139
3105.0,0.1569,2.5718,41.0598,2.7768,8.0182,8.4999,71.54865862162794
3105.1,0.1553,2.5713,40.0768,2.8599,7.9839,8.5,71.54865862162794
3105.2,0.1543,2.5702,39.3703,2.8216,7.8977,8.5242,71.51677026148742
